ID,Work Item Type,Title,State,Area Path,Iteration Path,Tags
"2019112","Task","HMD Admin Product Parts - PI25B - DAY1","Closed","DSBS\DiagData\CV CUR - Atom Team","DSBS\DD_PI25B_w15-w24\DD_PI25B_Sprint2 (w18-w20)",
"2017591","Task","GXM_27669","Active","DSBS","DSBS","Phrase request; Release 25W09"
"2017463","User Story","UAT TT 2.8.330 B3","New","DSBS\DiagData\CV CUR - Atom Team","DSBS\DD_PI25B_w15-w24\DD_PI25B_Sprint3 (w21-w23)",
"2017464","Task","UAT TT 2.8.330 B3","New","DSBS\DiagData\CV CUR - Atom Team","DSBS\DD_PI25B_w15-w24\DD_PI25B_Sprint3 (w21-w23)",
"2017461","User Story","UAT TT 2.8.330 B2","New","DSBS\DiagData\CV CUR - Atom Team","DSBS\DD_PI25B_w15-w24\DD_PI25B_Sprint2 (w18-w20)",
"2017462","Task","UAT TT 2.8.330 B2","New","DSBS\DiagData\CV CUR - Atom Team","DSBS\DD_PI25B_w15-w24\DD_PI25B_Sprint2 (w18-w20)",
"2010835","Task","Gear Lever WD","Active","DSBS\DiagData\CV CUR - Atom Team","DSBS\DD_PI25B_w15-w24\DD_PI25B_Sprint2 (w18-w20)",
"2017256","Task","Validate 59222-3 Function retarder, Test","New","DSBS\DiagData\CV CUR - Atom Team","DSBS\DD_PI25B_w15-w24\DD_PI25B_Sprint3 (w21-w23)",
"2010834","User Story","Gear Lever WD","Active","DSBS\DiagData\CV CUR - Atom Team","DSBS\DD_PI25B_w15-w24\DD_PI25B_Sprint2 (w18-w20)",
"2011555","User Story","59222-3 Function retarder, Test","New","DSBS\DiagData\CV CUR - Atom Team","DSBS\DD_PI25B_w15-w24\DD_PI25B_Sprint2 (w18-w20)",
"2011556","Task","Test/Implement 59222-3 Function retarder","Active","DSBS\DiagData\CV CUR - Atom Team","DSBS\DD_PI25B_w15-w24\DD_PI25B_Sprint2 (w18-w20)",
"2010852","User Story","PIL-171487 Refrigerator sympton PC24","Active","DSBS\DiagData\CV CUR - Atom Team","DSBS\DD_PI25B_w15-w24\DD_PI25B_Sprint2 (w18-w20)",
"2010853","Task","PIL-171487 Refrigerator sympton PC24","Active","DSBS\DiagData\CV CUR - Atom Team","DSBS\DD_PI25B_w15-w24\DD_PI25B_Sprint2 (w18-w20)",
"2010826","User Story","Check if there is any Gear Lever DTCs","Active","DSBS\DiagData\CV CUR - Atom Team","DSBS\DD_PI25B_w15-w24\DD_PI25B_Sprint2 (w18-w20)",
"2010827","Task","Check if there is any Gear Lever DTCs","Active","DSBS\DiagData\CV CUR - Atom Team","DSBS\DD_PI25B_w15-w24\DD_PI25B_Sprint2 (w18-w20)",
"2019111","Task","HMD Admin Product Parts - PI25B - DAY3","Closed","DSBS\DiagData\CV CUR - Atom Team","DSBS\DD_PI25B_w15-w24\DD_PI25B_Sprint1 (w15-w17)",
"2010691","User Story","Retarder WD - VMX PC06","Closed","DSBS\DiagData\CV CUR - Atom Team","DSBS\DD_PI25B_w15-w24\DD_PI25B_Sprint1 (w15-w17)",
"2011815","Task","Implement","Closed","DSBS\DiagData\CV CUR - Atom Team","DSBS\DD_PI25B_w15-w24\DD_PI25B_Sprint1 (w15-w17)",
"2010692","Task","Retarder WD - VMX PC06","Closed","DSBS\DiagData\CV CUR - Atom Team","DSBS\DD_PI25B_w15-w24\DD_PI25B_Sprint1 (w15-w17)",
"2010790","Task","PIL-234262 - Fix TT content connected to FAN","Closed","DSBS\DiagData\CV CUR - Atom Team","DSBS\DD_PI25A_w05-w14\DD_PI25A_Sprint3 (w11-w13)",
"2019186","Task","Part update request: Intermediate connectors","Closed","DSBS\DiagData\BowStreetRunners","DSBS\DD_PI25B_w15-w24\DD_PI25B_Sprint1 (w15-w17)",
"2019110","Task","HMD Admin Product Parts - PI25B - DAY2","Closed","DSBS\DiagData\CV CUR - Atom Team","DSBS\DD_PI25B_w15-w24\DD_PI25B_Sprint1 (w15-w17)",
"2019138","Task","Part request: {Exhaust System}","Closed","DSBS\DiagData\BowStreetRunners","DSBS",
"2019113","Task","HMD Admin Product Parts - PI25B - DAY2","New","DSBS\DiagData\CV CUR - Atom Team","DSBS\DD_PI25B_w15-w24\DD_PI25B_Sprint2 (w18-w20)",
"2019114","Task","HMD Admin Product Parts - PI25B - DAY3","New","DSBS\DiagData\CV CUR - Atom Team","DSBS\DD_PI25B_w15-w24\DD_PI25B_Sprint2 (w18-w20)",
"2019115","Task","HMD Admin Product Parts - PI25B - DAY1","New","DSBS\DiagData\CV CUR - Atom Team","DSBS\DD_PI25B_w15-w24\DD_PI25B_Sprint3 (w21-w23)",
"2019116","Task","HMD Admin Product Parts - PI25B - DAY2","New","DSBS\DiagData\CV CUR - Atom Team","DSBS\DD_PI25B_w15-w24\DD_PI25B_Sprint3 (w21-w23)",
"2019117","Task","HMD Admin Product Parts - PI25B - DAY3","New","DSBS\DiagData\CV CUR - Atom Team","DSBS\DD_PI25B_w15-w24\DD_PI25B_Sprint3 (w21-w23)",
"2019118","Task","HMD Admin Product Parts - PI25B - DAY1","New","DSBS\DiagData\CV CUR - Atom Team","DSBS\DD_PI25B_w15-w24\DD_PI25B_Sprint4 (w24)",
"2014589","User Story","P107C01","Active","DSBS\DiagData\CV CUR - Atom Team","DSBS\DD_PI25B_w15-w24\DD_PI25B_Sprint2 (w18-w20)",
"2014592","User Story","P107C11","Active","DSBS\DiagData\CV CUR - Atom Team","DSBS\DD_PI25B_w15-w24\DD_PI25B_Sprint2 (w18-w20)",
"2014595","User Story","P107C13","Active","DSBS\DiagData\CV CUR - Atom Team","DSBS\DD_PI25B_w15-w24\DD_PI25B_Sprint2 (w18-w20)",
"2013716","User Story","P107E01","Active","DSBS\DiagData\CV CUR - Atom Team","DSBS\DD_PI25B_w15-w24\DD_PI25B_Sprint2 (w18-w20)",
"2013717","User Story","P107E12","Active","DSBS\DiagData\CV CUR - Atom Team","DSBS\DD_PI25B_w15-w24\DD_PI25B_Sprint2 (w18-w20)",
"2013718","User Story","P107E13","Active","DSBS\DiagData\CV CUR - Atom Team","DSBS\DD_PI25B_w15-w24\DD_PI25B_Sprint2 (w18-w20)",
"2005204","User Story","P107D11","Active","DSBS\DiagData\CV CUR - Atom Team","DSBS\DD_PI25B_w15-w24\DD_PI25B_Sprint2 (w18-w20)",
"2005210","User Story","P107D12","Active","DSBS\DiagData\CV CUR - Atom Team","DSBS\DD_PI25B_w15-w24\DD_PI25B_Sprint2 (w18-w20)",
"2005211","User Story","P107D13","Active","DSBS\DiagData\CV CUR - Atom Team","DSBS\DD_PI25B_w15-w24\DD_PI25B_Sprint2 (w18-w20)",
"2006421","User Story","P107C98","Active","DSBS\DiagData\CV CUR - Atom Team","DSBS\DD_PI25B_w15-w24\DD_PI25B_Sprint2 (w18-w20)",
"2006423","User Story","P109A00","Active","DSBS\DiagData\CV CUR - Atom Team","DSBS\DD_PI25B_w15-w24\DD_PI25B_Sprint2 (w18-w20)",
"2006425","User Story","P109B00","Active","DSBS\DiagData\CV CUR - Atom Team","DSBS\DD_PI25B_w15-w24\DD_PI25B_Sprint2 (w18-w20)",
"2010605","Task","43142-3/ 4319-02-03-01 HydraulicSystemGearboxReactivation - SP4","Closed","DSBS\DiagData\CV CUR - Atom Team","DSBS\DD_PI25A_w05-w14\DD_PI25A_Sprint4 (w14)",
"2010601","User Story","43142-3/ 4319-02-03-01 HydraulicSystemGearboxReactivation - SP4","Closed","DSBS\DiagData\CV CUR - Atom Team","DSBS\DD_PI25A_w05-w14\DD_PI25A_Sprint4 (w14)",
"1971240","Task","Quality check VM - Available Parts","Closed","DSBS\DiagData\CV CUR - Atom Team","DSBS\DD_PI25C_w25-w34",
"2015332","Task","UAT 320 - B2","Closed","DSBS\DiagData\CV CUR - Atom Team","DSBS\DD_PI25A_w05-w14\DD_PI25A_Sprint4 (w14)",
"2016306","Task","Part request: {InstrumentCluster7}","Closed","DSBS\DiagData\BowStreetRunners","DSBS\DD_PI25A_w05-w14",
"2014596","Task","Check and development data","Closed","DSBS\DiagData\CV CUR - Atom Team","DSBS\DD_PI25A_w05-w14\DD_PI25A_Sprint3 (w11-w13)",
"2010600","User Story","43142-3/ 4319-02-03-01 HydraulicSystemGearboxReactivation - SP3","Closed","DSBS\DiagData\CV CUR - Atom Team","DSBS\DD_PI25A_w05-w14\DD_PI25A_Sprint3 (w11-w13)",
"2010604","Task","43142-3/ 4319-02-03-01 HydraulicSystemGearboxReactivation - SP3","Closed","DSBS\DiagData\CV CUR - Atom Team","DSBS\DD_PI25A_w05-w14\DD_PI25A_Sprint3 (w11-w13)",
"2015975","Task","Part request: EngineControlModule","Closed","DSBS\DiagData\BowStreetRunners","DSBS\DD_PI25A_w05-w14\DD_PI25A_Sprint1 (w05-w07)",
"2015629","Task","Part request: {PX03_B_7,15,16}","Closed","DSBS\DiagData\BowStreetRunners","DSBS\DD_PI25A_w05-w14",
"2015648","Task","Part request: {Vehicle Speed Sensor}","Closed","DSBS\DiagData\BowStreetRunners","DSBS",
"2010789","User Story","PIL-234262 - Fix TT content connected to FAN","Closed","DSBS\DiagData\CV CUR - Atom Team","DSBS\DD_PI25A_w05-w14\DD_PI25A_Sprint3 (w11-w13)",
"2014593","Task","Check and development data","Closed","DSBS\DiagData\CV CUR - Atom Team","DSBS\DD_PI25A_w05-w14\DD_PI25A_Sprint3 (w11-w13)",
"2014590","Task","Check and development data","Closed","DSBS\DiagData\CV CUR - Atom Team","DSBS\DD_PI25A_w05-w14\DD_PI25A_Sprint3 (w11-w13)",
"2013722","Task","Check and development Data","Closed","DSBS\DiagData\CV CUR - Atom Team","DSBS\DD_PI25A_w05-w14\DD_PI25A_Sprint3 (w11-w13)",
"2013724","Task","Check and development Data","Closed","DSBS\DiagData\CV CUR - Atom Team","DSBS\DD_PI25A_w05-w14\DD_PI25A_Sprint3 (w11-w13)",
"2013726","Task","Check and development Data","Closed","DSBS\DiagData\CV CUR - Atom Team","DSBS\DD_PI25A_w05-w14\DD_PI25A_Sprint3 (w11-w13)",
"2010599","User Story","43142-3/ 4319-02-03-01 HydraulicSystemGearboxReactivation - SP2","Closed","DSBS\DiagData\CV CUR - Atom Team","DSBS\DD_PI25A_w05-w14\DD_PI25A_Sprint2 (w08-w10)",
"2010603","Task","43142-3/ 4319-02-03-01 HydraulicSystemGearboxReactivation - SP2","Closed","DSBS\DiagData\CV CUR - Atom Team","DSBS\DD_PI25A_w05-w14\DD_PI25A_Sprint2 (w08-w10)",
"2015155","Task","Part request: ValveGearActuator","Closed","DSBS\DiagData\BowStreetRunners","DSBS\DD_PI25A_w05-w14\DD_PI25A_Sprint3 (w11-w13)",
"2015127","Task","Part request: AdBluePumpModule","Closed","DSBS\DiagData\BowStreetRunners","DSBS",
"2015124","Task","Part request: {Boost Pressure And Boost Temperature Sensor}","Closed","DSBS\DiagData\BowStreetRunners","DSBS\DD_PI25A_w05-w14",
"2014462","Task","Part update request: CSU, TVJB-3, HPC","Closed","DSBS\DiagData\BowStreetRunners","DSBS\DD_PI25A_w05-w14\DD_PI25A_Sprint2 (w08-w10)",
